,word,categories
331,curaçao,[]
332,curd,[]
333,curiositas,[]
334,cut,[]
335,cutter,[]
336,cynar,[]
337,cyril,[]
338,d,[]
339,d'arisit,['liqueur']
340,d'aristi,['liqueur']
341,d'or,[]
342,d'oro,[]
343,d.,[]
344,d.o.m,[]
345,dale,[]
346,damnation,[]
347,dancing,[]
348,daniel's,[]
349,darjeeling,[]
350,dark,[]
351,dashes,[]
352,day,[]
353,de,[]
354,degroff's,[]
355,dehydrated,[]
356,dei,[]
357,del,[]
358,demarara,['sugar']
359,demerara,['sugar']
360,demitri's,[]
361,denizen,[]
362,des,[]
363,deschutes,['beer']
364,di,[]
365,diamante,[]
366,dijon,[]
367,dill,['herbal']
368,dobel,[]
369,dolin,[]
370,domingo,[]
371,don,[]
372,don's,[]
373,door,[]
374,dorado,[]
375,double,[]
376,doug,[]
377,dr.,[]
378,draft,['beer']
379,drained,[]
380,dram,[]
381,drambuie,[]
382,drops,[]
383,drouin,['wine']
384,dry,[]
385,du,[]
386,dubonnet,[]
387,duplais,[]
388,duque,[]
389,e,[]
390,earl,[]
391,earth,[]
392,east,[]
393,easy,[]
394,eau,[]
395,eau-de-vie,['brandy']
396,egg,['egg']
397,el,[]
398,elder,[]
399,elderflower,['herbal']
400,elemakule,[]
401,elizabeth,[]
402,english,[]
403,equal,[]
404,especial,[]
405,espresso,['coffee']
406,esprit,[]
407,essence,[]
408,etter,[]
409,everclear,['vodka']
410,extra,[]
411,extract,['extract']
412,f.,[]
413,fair,[]
414,falernum,"['tropical', 'liqueur']"
415,fashioned,[]
416,fee,[]
417,fennel,"['herbal', 'spice']"
418,fenteman's,[]
419,fentimans,[]
420,fernet,['bitters']
421,fernet-branca,[]
422,ferrand,[]
423,fever,[]
424,fever-tree,[]
425,few,[]
426,fi,[]
427,fig,['fruit']
428,fig-infused,[]
429,figli,[]
430,fill,[]
431,finely,[]
432,fino,[]
433,fir,[]
434,fire,['spicy']
435,five,[]
436,flagship,[]
437,flavored,[]
438,flesh,[]
439,float,[]
440,flower,[]
441,foam,[]
442,foie,[]
443,food,[]
444,foods,[]
445,for,[]
446,forbidden,[]
447,forester,[]
448,forgery,[]
449,formula,[]
450,founders,['beer']
451,fragoli,['liqueur']
452,framboise,['beer']
453,francaise,[]
454,french,[]
455,fresh,[]
456,fresh-pressed,[]
457,fresh-squeezed,[]
458,freshly,[]
459,fresh lime,[]
460,from,[]
461,fruit,['fruit']
462,fugit,[]
463,fuji,[]
464,funkin,[]
465,garlic,"['spice', 'herbal']"
466,garrison,[]
467,genepy,[]
468,genever,['genever']
469,genevieve,[]
470,gentian,[]
471,gentiane,[]
472,genuine,[]
473,george,[]
474,germain,[]
475,germain-robin,[]
476,germaine,[]
477,ghost,['spicy']
478,ghost-pepper-infused,[]
479,giffard,[]
480,gin,['gin']
481,ginger,"['spice', 'herbal']"
482,ginger-cinnamon,[]
483,ginger-vanilla,[]
484,ginger/cardamom/honey,[]
485,gingersnap,[]
486,ginjo,[]
487,gitana,[]
488,glaciale,[]
489,glasgow,[]
490,glenrothes,['whiskey']
491,gogh,[]
492,goji,[]
493,gold,[]
494,golden,[]
495,gomme,[]
496,good,[]
497,gooseberry,['fruit']
498,gordy’s,[]
499,gossling's,[]
500,gosslings,[]
501,grade-a,[]
502,graham's,[]
503,grain,[]
504,gran,[]
505,grand,[]
506,granny,[]
507,grape,['fruit']
508,grapefruit,['fruit']
509,grapes,[]
510,gras-infused,[]
511,grated,[]
512,great,[]
513,green,[]
514,grenadine,['syrup']
515,grey,[]
516,grüner,[]
517,guapo,[]
518,guava,['fruit']
519,guita',[]
520,gum,[]
521,h,[]
522,habanero,['spicy']
523,half,[]
524,hamilton,[]
525,hand,[]
526,handful,[]
527,hands,[]
528,hangar,[]
529,harbour,[]
530,hard,[]
531,harvest,[]
532,hat,[]
533,hawaiian,['tropical']
534,hazelnut,['nut']
535,heavy,[]
536,hella,[]
537,hellfire,[]
538,hepps,[]
539,herbal,['herbal']
540,herring,[]
541,hibiscus,['herbal']
542,hibiscus/rose,[]
543,hidalgo,[]
544,high,[]
545,hill,[]
546,hine,[]
547,hirsch,[]
548,hirsh,[]
549,homemade,[]
550,honey,['syrup']
551,honey-ginger,[]
552,honey-pear,[]
553,hop,['hoppy']
554,hophead,[]
555,hopped,[]
556,horchata,['cream']
557,hot,['hot']
558,house,[]
559,house-made,[]
560,hula,[]
561,hum,[]
562,hunk,[]
563,ice,['cold']
564,imperial,['beer']
565,in,[]
566,india,[]
567,indian,[]
568,infused,[]
569,infusion,[]
570,ipa,['beer']
571,irish,[]
572,island,[]
573,islay,[]
574,italia,[]
575,italian,[]
576,italiano,[]
577,j.,[]
578,j.h.,[]
579,jack,[]
580,jalapeno,['spicy']
581,jalapeno-orange,[]
582,jalapeño,[]
583,jam,[]
584,jamaica,[]
585,jamaican,[]
586,japanese,[]
587,jar,[]
588,jasmine,['herbal']
589,jello,[]
590,jerez,[]
591,jerry,[]
592,john,[]
593,juice,['juice']
594,juiced,[]
595,juice ,[]
596,julienned,[]
597,jummai,[]
598,june,[]
599,junipero,[]
600,junmai,[]
601,kaffir,[]
602,kalamansi,[]
603,kalani,[]
604,kale,['vegetable']
605,karlsson's,[]
606,keep,[]
607,kina,[]
608,king,[]
609,king's,[]
610,kings,[]
611,kirsch,['liqueur']
612,kirschwasser,['liqueur']
613,kiwi,['fruit']
614,kj,[]
615,kola,[]
616,kombu,[]
617,kosher,[]
618,krogstad,[]
619,kummel,[]
620,kumquats,['fruit']
621,kuri,[]
622,l'aero,[]
623,la,[]
624,label,[]
625,lacuesta,[]
626,lager,[]
627,laird's,[]
628,laphroaig,[]
629,large,[]
