,index,ingredient_type
400,409,syrup
401,410,mixer
402,411,spice
403,412,whiskey
404,414,mixer
405,415,liqueur
406,416,citrus
407,417,mixer
408,418,liqueur
409,419,champagne
410,420,mixer
411,421,liqueur
412,422,brandy
413,423,mixer
414,424,liqueur
415,425,liqueur
416,426,spice
417,427,mixer
418,428,gin
419,429,liqueur
420,430,wine
421,431,whiskey
422,432,liqueur
423,433,liqueur
424,434,citrus
425,435,mixer
426,436,bitters
427,437,cognac
428,438,gin
429,439,citrus
430,440,liqueur
431,441,bitters
432,442,mezcal
433,443,liqueur
434,444,citrus
435,445,juice
436,446,syrup
437,447,whiskey
438,448,liqueur
439,449,wine
440,450,mixer
441,451,rum
442,452,liqueur
443,453,liqueur
444,454,citrus
445,455,citrus
446,456,cognac
447,457,wine
448,458,liqueur
449,459,citrus
450,460,citrus
451,461,cream
452,462,egg
453,463,spirit
454,464,liqueur
455,465,tea
456,466,wine
457,467,cognac
458,468,wine
459,469,wine
460,470,liqueur
461,471,liqueur
462,472,spirit
463,473,liqueur
464,474,citrus
465,475,syrup
466,476,egg
467,477,beer
468,478,herbal
469,479,gin
470,480,liqueur
471,481,liqueur
472,482,liqueur
473,483,gin
474,484,gin
475,485,syrup
476,486,bitters
477,487,whiskey
478,488,mixer
479,489,wine
480,490,citrus
481,491,gin
482,494,mixer
483,495,vegetable
484,496,spice
485,497,liqueur
486,498,syrup
487,499,citrus
488,500,wine
489,501,gin
490,502,liqueur
491,503,syrup
492,504,citrus
493,505,mixer
494,506,herbal
495,507,liqueur
496,508,citrus
497,509,syrup
498,510,egg
499,511,mixer
500,512,cognac
501,513,liqueur
502,514,absinthe
503,515,wine
504,516,whiskey
505,517,liqueur
506,519,mixer
507,520,citrus
508,521,egg
509,522,bitters
510,523,vodka
511,524,cold
512,526,citrus
513,527,liqueur
514,528,rum
515,529,citrus
516,530,mixer
517,531,mixer
518,532,fruit
519,533,vodka
520,534,brandy
521,535,wine
522,536,wine
523,537,wine
524,538,vodka
525,539,mixer
526,540,wine
527,541,citrus
528,542,liqueur
529,543,liqueur
530,544,vodka
531,545,wine
532,546,liqueur
533,548,gin
534,549,wine
535,550,beer
536,551,liqueur
537,552,absinthe
538,553,citrus
539,554,whiskey
540,555,wine
541,556,liqueur
542,557,bitters
543,558,gin
544,559,brandy
545,560,syrup
546,561,citrus
547,562,absinthe
548,563,gin
549,564,wine
550,565,vegetable
551,566,whiskey
552,567,cognac
553,569,liqueur
554,571,whiskey
555,572,wine
556,573,syrup
557,574,citrus
558,575,gin
559,576,liqueur
560,578,wine
561,579,cold
562,580,citrus
563,581,syrup
564,582,tea
565,583,vodka
566,584,citrus
567,585,cold
568,586,syrup
569,587,citrus
570,588,herbal
571,589,liqueur
572,590,syrup
573,591,nut
574,592,mixer
575,593,bitters
576,594,mezcal
577,595,fruit
578,596,spice
579,597,bitters
580,598,fruit
581,599,wine
582,600,liqueur
583,601,citrus
584,602,wine
585,603,wine
586,604,rum
587,605,vegetable
588,606,herbal
589,607,gin
590,608,citrus
591,609,spice
592,610,citrus
593,611,spice
594,612,egg
595,613,juice
596,614,vodka
597,616,cold
598,617,citrus
599,618,syrup
600,619,wine
601,620,citrus
602,621,syrup
603,622,spice
604,623,nut
605,624,egg
606,626,liqueur
607,627,cognac
608,628,liqueur
609,629,liqueur
610,630,liqueur
611,631,liqueur
612,632,fruit
613,633,citrus
614,634,rum
615,635,citrus
616,636,mixer
617,637,cold
618,638,wine
619,639,spice
620,641,nut
621,643,fruit
622,644,fruit
623,645,mixer
624,647,liqueur
625,648,gin
626,649,citrus
627,650,liqueur
628,651,liqueur
629,652,brandy
630,653,syrup
631,655,herbal
632,656,citrus
633,657,wine
634,658,herbal
635,659,cold
636,660,syrup
637,661,vegetable
638,662,liqueur
639,663,citrus
640,664,syrup
641,665,egg
642,666,herbal
643,667,whiskey
644,668,bitters
645,669,wine
646,670,bitters
647,671,gin
648,672,liqueur
649,673,liqueur
650,674,syrup
651,675,citrus
652,676,citrus
653,677,mixer
654,678,vodka
655,679,cold
656,680,wine
657,681,whiskey
658,682,wine
659,683,liqueur
660,684,nut
661,685,vodka
662,686,gin
663,687,liqueur
664,688,vodka
665,689,syrup
666,690,bitters
667,691,gin
668,692,liqueur
669,693,brandy
670,694,liqueur
671,695,wine
672,696,gin
673,697,liqueur
674,698,citrus
675,699,herbal
676,700,grain
677,701,whiskey
678,702,liqueur
679,703,citrus
680,704,syrup
681,705,citrus
682,706,gin
683,707,wine
684,708,citrus
685,709,citrus
686,711,wine
687,712,gin
688,714,syrup
689,715,egg
690,716,brandy
691,717,tequila
692,719,citrus
693,720,citrus
694,721,syrup
695,722,vodka
696,723,brandy
697,724,wine
698,725,liqueur
699,726,bitters
700,727,bitters
701,728,vodka
702,730,citrus
703,731,syrup
704,732,liqueur
705,733,gin
706,734,citrus
707,735,syrup
708,736,mixer
709,737,citrus
710,738,wine
711,739,tea
712,740,champagne
713,741,liqueur
714,742,citrus
715,743,liqueur
716,744,herbal
717,745,whiskey
718,746,tea
719,747,spice
720,748,citrus
721,749,syrup
722,750,gin
723,751,liqueur
724,752,liqueur
725,753,bitters
726,754,bitters
727,755,whiskey
728,756,citrus
729,757,syrup
730,758,wine
731,759,gin
732,760,liqueur
733,761,cold
734,762,citrus
735,763,wine
736,764,spicy
737,765,cognac
738,766,liqueur
739,767,nut
740,768,vodka
741,769,liqueur
742,770,citrus
743,771,spice
744,772,vodka
745,774,citrus
746,775,citrus
747,776,beer
748,777,vodka
749,778,liqueur
750,779,beer
751,780,citrus
752,781,syrup
753,782,egg
754,783,bitters
755,784,cognac
756,786,mixer
757,787,cold
758,788,spirit
759,789,wine
760,790,liqueur
761,791,citrus
762,792,whiskey
763,793,wine
764,794,wine
765,795,liqueur
766,796,gin
767,797,liqueur
768,798,mixer
769,799,citrus
770,800,gin
771,801,liqueur
772,802,citrus
773,803,spice
774,804,citrus
775,805,gin
776,806,wine
777,807,liqueur
778,808,citrus
779,809,gin
780,811,wine
781,812,liqueur
782,813,brandy
783,814,gin
784,815,gin
785,816,tea
786,817,juice
787,818,spice
788,820,bitters
789,821,whiskey
790,822,wine
791,823,citrus
792,824,liqueur
793,825,gin
794,826,citrus
795,827,liqueur
796,828,spice
797,829,gin
798,831,liqueur
799,832,citrus
800,833,syrup
801,834,herbal
802,835,grain
803,836,wine
804,837,liqueur
805,838,gin
806,839,wine
807,840,liqueur
808,841,bitters
809,842,gin
810,845,fruit
811,846,liqueur
812,847,wine
813,848,champagne
814,849,liqueur
815,851,brandy
816,852,champagne
817,853,liqueur
818,854,liqueur
819,855,gin
820,856,mixer
821,857,nut
822,858,nut
823,859,mixer
824,860,liqueur
825,861,gin
826,862,mixer
827,863,citrus
828,864,liqueur
829,865,liqueur
830,866,liqueur
831,867,citrus
832,868,spice
833,869,beer
834,870,bitters
835,871,whiskey
836,872,absinthe
837,873,hot
838,874,cream
839,875,rum
840,876,liqueur
841,877,citrus
842,878,liqueur
843,879,syrup
844,880,gin
845,881,wine
846,882,liqueur
847,883,citrus
848,884,vodka
849,885,cold
850,886,mixer
851,887,fruit
852,888,gin
853,889,liqueur
854,890,citrus
855,891,spicy
856,892,liqueur
857,893,rum
858,894,mixer
859,895,citrus
860,896,rum
861,897,spice
862,898,citrus
863,899,wine
864,900,liqueur
865,901,liqueur
866,902,citrus
867,903,vodka
868,904,liqueur
869,905,citrus
870,906,spice
871,907,spice
872,908,mixer
873,909,citrus
874,910,sugar
875,912,rum
876,913,champagne
877,914,bitters
878,915,fruit
879,916,liqueur
880,917,rum
881,918,beer
882,919,citrus
883,920,syrup
884,921,wine
885,922,liqueur
886,923,citrus
887,924,fruit
888,925,egg
889,926,liqueur
890,927,whiskey
891,928,citrus
892,929,bitters
893,930,egg
894,931,whiskey
895,932,liqueur
896,933,syrup
897,934,citrus
898,935,egg
899,936,gin
900,937,liqueur
901,938,rum
902,939,sugar
903,940,egg
904,941,cream
905,942,cream
906,943,whiskey
907,944,liqueur
908,945,liqueur
909,946,juice
910,947,fruit
911,948,egg
912,949,brandy
913,950,citrus
914,951,syrup
915,952,egg
916,953,gin
917,954,wine
918,955,liqueur
919,956,herbal
920,957,citrus
921,958,cold
922,959,egg
923,960,rum
924,961,liqueur
925,962,syrup
926,963,egg
927,964,spice
928,965,rum
929,966,liqueur
930,967,syrup
931,968,citrus
932,969,citrus
933,970,egg
934,971,cognac
935,972,rum
936,973,rum
937,974,spice
938,975,cream
939,976,spice
940,977,egg
941,978,wine
942,979,rum
943,980,citrus
944,981,liqueur
945,982,cream
946,983,brandy
947,984,liqueur
948,985,brandy
949,986,citrus
950,987,egg
951,988,liqueur
952,989,spice
953,990,citrus
954,991,syrup
955,992,egg
956,993,wine
957,994,citrus
958,996,egg
959,997,wine
960,998,liqueur
961,999,citrus
962,1000,citrus
963,1001,syrup
964,1002,egg
965,1003,liqueur
966,1004,juice
967,1005,cream
968,1006,spice
969,1007,mezcal
970,1008,spice
971,1009,fruit
972,1010,citrus
973,1011,cold
974,1012,herbal
975,1014,mezcal
976,1015,bitters
977,1016,liqueur
978,1017,citrus
979,1018,rum
980,1019,rum
981,1020,citrus
982,1021,liqueur
983,1022,syrup
984,1023,cold
985,1024,bitters
986,1025,liqueur
987,1026,citrus
988,1027,mixer
989,1028,cognac
990,1029,liqueur
991,1030,bitters
992,1031,vodka
993,1032,liqueur
994,1033,liqueur
995,1034,citrus
996,1035,syrup
997,1037,liqueur
998,1038,spice
999,1039,bitters
1000,1040,mixer
1001,1041,wine
1002,1042,liqueur
1003,1043,whiskey
1004,1044,bitters
1005,1045,liqueur
1006,1046,citrus
1007,1047,gin
1008,1048,liqueur
1009,1049,liqueur
1010,1050,mixer
1011,1051,wine
1012,1052,liqueur
1013,1053,citrus
1014,1054,mixer
1015,1055,liqueur
1016,1056,brandy
1017,1057,liqueur
1018,1058,wine
1019,1059,mixer
1020,1060,brandy
1021,1061,citrus
1022,1062,syrup
1023,1063,egg
1024,1064,bitters
1025,1065,mezcal
1026,1066,syrup
1027,1067,cold
1028,1068,citrus
1029,1069,liqueur
1030,1070,citrus
1031,1071,fruit
1032,1072,liqueur
1033,1073,liqueur
1034,1075,syrup
1035,1076,citrus
1036,1077,fruit
1037,1078,wine
1038,1079,brandy
1039,1080,cold
1040,1081,citrus
1041,1082,mixer
1042,1083,egg
1043,1084,rum
1044,1085,syrup
1045,1086,citrus
1046,1087,gin
1047,1088,spice
1048,1089,citrus
1049,1090,mixer
1050,1091,gin
1051,1093,liqueur
1052,1094,gin
1053,1095,citrus
1054,1096,syrup
1055,1097,whiskey
1056,1099,juice
1057,1100,spice
1058,1101,bitters
1059,1103,fruit
1060,1104,sugar
1061,1105,citrus
1062,1106,liqueur
1063,1107,spice
1064,1108,spice
1065,1109,spice
1066,1111,spice
1067,1112,tequila
1068,1113,liqueur
1069,1114,bitters
1070,1115,rum
1071,1116,liqueur
1072,1117,nut
1073,1118,citrus
1074,1119,sugar
1075,1120,bitters
1076,1121,fruit
1077,1122,rum
1078,1123,vodka
1079,1124,vodka
1080,1126,syrup
1081,1127,coffee
1082,1128,coffee
1083,1129,vodka
1084,1130,bitters
1085,1131,citrus
1086,1132,syrup
1087,1133,spice
1088,1134,cold
1089,1135,vodka
1090,1136,wine
1091,1137,spice
1092,1138,syrup
1093,1139,spice
1094,1140,spice
1095,1141,egg
1096,1142,vodka
1097,1143,citrus
1098,1144,liqueur
1099,1145,cold
1100,1146,fruit
1101,1147,fruit
1102,1148,vodka
1103,1149,cold
1104,1150,syrup
1105,1151,wine
1106,1152,spice
1107,1153,vodka
1108,1154,spice
1109,1155,liqueur
1110,1156,spice
1111,1157,syrup
1112,1158,fruit
1113,1159,nut
1114,1160,vodka
1115,1161,citrus
1116,1162,citrus
1117,1163,syrup
1118,1164,spice
1119,1165,liqueur
1120,1166,citrus
1121,1167,juice
1122,1168,fruit
1123,1169,vodka
1124,1170,citrus
1125,1171,champagne
1126,1172,vodka
1127,1173,liqueur
1128,1174,cream
1129,1175,mixer
