genreId,genreName
0,Romance
1,Biography
2,Crime
3,Drama
4,Adventure
5,Family
6,History
7,Fantasy
8,War
9,Thriller
10,Documentary
11,Comedy
12,Mystery
13,Horror
14,Western
15,Music
16,Action
17,Sci-Fi
18,Animation
19,Musical
20,Sport
21,Film-Noir
22,News
23,Talk-Show
24,Adult
25,Reality-TV
26,Short
27,Game-Show
