tConst,title,year,rating,votes
tt0039760,Reina santa,1947,6.3,28.0
tt0039761,Repeat Performance,1947,6.8,695.0
tt0039764,Return of the Lash,1947,6.5,91.0
tt0039768,Ride the Pink Horse,1947,7.3,2247.0
tt0039769,Riders of the Lone Star,1947,6.4,12.0
tt0039772,Riffraff,1947,6.7,473.0
tt0039777,Road to the Big House,1947,7.2,18.0
tt0039779,Robin Hood of Monterey,1947,6.6,41.0
tt0039780,Robin Hood of Texas,1947,6.2,104.0
tt0039781,Rocambole,1947,5.8,15.0
tt0039782,Rolling Home,1946,6.0,40.0
tt0039784,The Root of All Evil,1947,6.6,166.0
tt0039787,Roses Are Red,1947,6.5,131.0
tt0039790,Russkiy vopros,1948,6.4,53.0
tt0039792,Ruy Blas,1948,6.6,113.0
tt0039793,Hidden River,1948,6.9,148.0
tt0039797,San Demetrio London,1943,6.7,344.0
tt0039800,Scared to Death,1947,4.0,1329.0
tt0039806,The Sea of Grass,1947,6.3,1818.0
tt0039808,The Secret Life of Walter Mitty,1947,7.0,5320.0
tt0039811,The Senator Was Indiscreet,1947,6.8,371.0
tt0039812,Sepia Cinderella,1947,5.8,68.0
tt0039814,La serpiente de cascabel,1948,7.2,18.0
tt0039815,Seven Keys to Baldpate,1947,6.0,269.0
tt0039816,Seven Were Saved,1947,5.9,115.0
tt0039817,Shadow Valley,1947,6.7,51.0
tt0039820,Shoot to Kill,1947,5.6,441.0
tt0039821,Code of Scotland Yard,1947,6.8,140.0
tt0039822,Le Silence de la Mer,1949,7.6,3691.0
tt0039823,Le silence est d'or,1947,7.2,407.0
tt0039824,The Silver Darlings,1947,5.9,63.0
tt0039825,The Sin of Harold Diddlebock,1947,6.5,1376.0
tt0039826,"Sinbad, the Sailor",1947,6.3,1710.0
tt0039833,Symphony of Life,1948,6.9,88.0
tt0039834,A Ship to India,1947,6.5,1201.0
tt0039837,Slavica,1947,7.3,92.0
tt0039841,Smoky River Serenade,1947,6.2,10.0
tt0039842,So Well Remembered,1947,6.9,393.0
tt0039849,Son of Zorro,1947,6.7,89.0
tt0039851,Song of My Heart,1948,5.0,8.0
tt0039852,Song of Scheherazade,1947,6.6,168.0
tt0039853,Song of the Thin Man,1947,7.1,4180.0
tt0039856,Soy charro de Rancho Grande,1947,7.4,28.0
tt0039862,Poor Little Sven,1947,6.1,15.0
tt0039866,The Lucky Bride,1946,6.8,14.0
tt0039871,One Wonderful Sunday,1947,7.2,2448.0
tt0039874,Suopursu kukkii,1947,4.8,33.0
tt0039875,Supper for Two,1947,5.2,26.0
tt0039876,Sweet Genevieve,1947,6.1,7.0
tt0039880,Song of Stockholm,1947,6.0,28.0
tt0039881,T-Men,1947,7.0,2905.0
tt0039882,Take What You Want,1947,7.2,32.0
tt0039883,Take My Life,1947,7.0,255.0
tt0039887,Tarzan and the Huntress,1947,6.3,1933.0
tt0039889,Temptation Harbor,1947,7.8,45.0
tt0039890,The Tender Years,1948,6.8,22.0
tt0039891,Terror Trail,1946,6.5,38.0
tt0039892,That Hagen Girl,1947,6.3,576.0
tt0039894,That's My Gal,1947,6.2,5.0
tt0039895,I Became a Criminal,1947,7.2,1212.0
tt0039896,They Won't Believe Me,1947,7.2,1805.0
tt0039897,Things Happen at Night,1948,4.5,144.0
tt0039898,This Time for Keeps,1947,5.9,294.0
tt0039899,Three on a Ticket,1947,5.6,33.0
tt0039902,Thunder in the Valley,1947,8.0,32.0
tt0039903,Time Out of Mind,1947,6.6,48.0
tt0039906,Too Many Winners,1947,6.3,34.0
tt0039908,Trail Street,1947,6.2,531.0
tt0039909,Trail to San Antone,1947,6.5,59.0
tt0039910,Trailing Danger,1947,5.9,8.0
tt0039914,The Trespasser,1947,6.2,26.0
tt0039918,Três Espelhos,1947,6.4,14.0
tt0039922,Två kvinnor,1947,4.7,21.0
tt0039925,Twins,1945,6.8,49.0
tt0039926,The Two Mrs. Carrolls,1947,6.9,3225.0
tt0039927,Tycoon,1947,6.3,1245.0
tt0039931,Unconquered,1947,7.1,1968.0
tt0039932,And the Heaven Above us,1947,6.9,47.0
tt0039935,Undercover Maisie,1947,6.5,218.0
tt0039938,The Unfinished Dance,1947,6.6,359.0
tt0039939,Youths in Danger,1946,5.5,14.0
tt0039940,The Immortal Face,1947,6.4,7.0
tt0039941,The Unsuspected,1947,7.2,2210.0
tt0039942,Untamed Fury,1947,6.0,32.0
tt0039947,The Upturned Glass,1947,7.0,577.0
tt0039948,Vacation Days,1947,5.2,29.0
tt0039949,It Happened in Europe,1948,7.8,754.0
tt0039950,Valley of Fear,1947,7.7,10.0
tt0039951,Variety Girl,1947,6.4,309.0
tt0039957,The Vigilante: Fighting Hero of the West,1947,7.3,67.0
tt0039958,The Vigilantes Return,1947,5.6,37.0
tt0039960,Violence,1947,5.6,108.0
tt0039967,Os Vizinhos do Rés-do-Chão,1947,6.5,14.0
tt0039970,Voyage surprise,1947,7.2,64.0
tt0039973,The Web,1947,7.1,705.0
tt0039976,The World Turns Backward,1947,5.4,27.0
tt0039979,West to Glory,1947,6.2,57.0
tt0039980,When a Girl's Beautiful,1947,6.1,7.0
tt0039981,When the Bough Breaks,1947,6.4,105.0
tt0039982,Where There's Life,1947,6.7,295.0
tt0039985,While the Sun Shines,1947,6.8,8.0
tt0039986,Whispering City,1947,6.3,253.0
tt0039988,Harmony Trail,1944,6.8,79.0
tt0039989,Bad Sister,1947,7.2,22.0
tt0039997,Winter Wonderland,1946,6.8,58.0
tt0039998,The Wistful Widow of Wagon Gap,1947,6.8,978.0
tt0039999,The Woman in the Hall,1947,6.6,72.0
tt0040000,The Woman on the Beach,1947,6.4,1805.0
tt0040003,Women in the Night,1948,4.5,116.0
tt0040004,The World Is Rich,1947,6.6,9.0
tt0040005,The World Owes Me a Living,1945,5.1,11.0
tt0040006,Wozzeck,1947,7.7,27.0
tt0040008,Yankee Fakir,1947,5.7,61.0
tt0040009,Tears of the Yang-Tse,1947,7.5,255.0
tt0040010,Four Love Stories,1947,6.6,27.0
tt0040012,Zakazane piosenki,1947,7.1,391.0
tt0040015,This People Will Live,1947,5.8,19.0
tt0040016,Zwischen gestern und morgen,1947,7.1,116.0
tt0040020,Ének a búzamezökröl,1947,7.2,86.0
tt0040064,3 Godfathers,1948,7.1,7791.0
tt0040068,Abbott and Costello Meet Frankenstein,1948,7.5,13756.0
tt0040072,An Act of Murder,1948,7.0,498.0
tt0040075,Adventures of Casanova,1948,6.4,40.0
tt0040076,Adventures of Don Juan,1948,7.0,2615.0
tt0040077,Adventures of Frank and Jesse James,1948,6.9,120.0
tt0040078,Adventures of Gallant Bess,1948,5.2,75.0
tt0040079,The Affair Blum,1948,7.8,38.0
tt0040080,Against the Wind,1948,6.5,447.0
tt0040081,Las aguas bajan negras,1948,5.9,37.0
tt0040082,Albuquerque,1948,6.6,565.0
tt0040083,Alegres vacaciones,1948,4.8,5.0
tt0040086,Alisher Navoy,1948,7.2,17.0
tt0040087,All My Sons,1948,7.4,1505.0
tt0040088,Out on the Big Ranch,1949,7.1,64.0
tt0040089,Always Together,1947,6.0,158.0
tt0040096,Angelitos negros,1948,7.1,265.0
tt0040097,Angels' Alley,1948,6.2,214.0
tt0040098,Anna Karenina,1948,6.7,2332.0
tt0040099,Anni,1948,5.4,5.0
tt0040100,Anni difficili,1948,7.2,120.0
tt0040103,Another Shore,1948,6.1,75.0
tt0040104,Apartment for Peggy,1948,7.3,840.0
tt0040105,The Original Sin,1948,7.0,52.0
tt0040106,Appointment with Murder,1948,5.9,127.0
tt0040107,April Showers,1948,6.1,242.0
tt0040110,Arche Nora,1948,8.9,10.0
tt0040111,Are You with It?,1948,6.9,69.0
tt0040112,The Argyle Secrets,1948,6.5,117.0
tt0040113,The Arizona Ranger,1948,6.4,118.0
tt0040114,The Cupboard Was Bare,1948,6.8,189.0
tt0040139,Aventuras de don Juan de Mairena,1948,5.5,17.0
tt0040142,The Babe Ruth Story,1948,5.2,908.0
tt0040145,Badger's Green,1949,7.9,7.0
tt0040146,Wench,1948,5.8,14.0
tt0040155,Berlin Express,1948,6.8,2737.0
tt0040156,The Berliner,1948,7.1,132.0
tt0040159,Big City,1948,6.6,200.0
tt0040160,The Big Clock,1948,7.7,7324.0
tt0040161,The Big Punch,1948,6.9,32.0
tt0040167,Black Bart,1948,6.3,323.0
tt0040168,Black Eagle,1948,7.1,11.0
tt0040169,Black Hills,1947,6.1,93.0
tt0040172,The Blind Goddess,1948,6.4,81.0
tt0040173,Blondie's Reward,1948,6.8,115.0
tt0040175,Blood on the Moon,1948,6.9,1881.0
tt0040176,Boarding House Blues,1948,7.0,62.0
tt0040177,Bob and Sally,1948,5.5,8.0
tt0040178,Bodyguard,1948,6.5,531.0
tt0040183,Bonnie Prince Charlie,1948,5.1,203.0
tt0040186,Brass Monkey,1948,5.2,116.0
tt0040188,Brindis a Manolete,1948,3.7,15.0
tt0040189,Broken Journey,1948,5.8,166.0
tt0040194,The Burning Cross,1947,4.4,10.0
tt0040199,The Calendar,1948,5.9,50.0
tt0040202,Call Northside 777,1948,7.4,7502.0
tt0040204,La calle sin sol,1948,7.1,80.0
tt0040208,Campus Sleuth,1948,6.9,22.0
tt0040212,"Loyola, the Soldier Saint",1949,6.0,18.0
tt0040213,Carson City Raiders,1948,7.6,39.0
tt0040214,Casbah,1948,6.0,376.0
tt0040215,Les casse-pieds,1948,6.7,72.0
tt0040222,Cenerentola,1949,7.0,9.0
tt0040223,La Chartreuse de Parme,1948,7.1,349.0
tt0040229,Chicken Every Sunday,1949,6.6,206.0
tt0040236,Scandals of Clochemerle,1948,7.4,65.0
tt0040237,Close-Up,1948,6.3,89.0
tt0040243,Congo Bill,1948,6.7,60.0
tt0040246,Corridor of Mirrors,1948,6.6,372.0
tt0040250,The Counterfeiters,1948,5.8,44.0
tt0040251,The Countess of Monte Cristo,1948,5.7,67.0
tt0040254,The Creeper,1948,5.0,168.0
tt0040257,Cry of the City,1948,7.3,1973.0
tt0040264,Under Sunny Skies,1948,5.0,8.0
tt0040265,La dama del velo,1949,7.0,7.0
tt0040266,The Dancing Years,1950,6.2,52.0
tt0040268,Dangers of the Canadian Mounted,1948,5.4,119.0
tt0040269,Daredevils of the Clouds,1948,5.7,15.0
tt0040270,The Dark Past,1948,6.4,904.0
tt0040271,A Date with Judy,1948,6.6,1023.0
tt0040272,Date with a Dream,1948,5.6,49.0
tt0040273,Daughter of Darkness,1948,6.6,210.0
tt0040277,Dead Man's Gold,1948,8.1,32.0
tt0040278,Deadline,1948,8.1,17.0
tt0040281,Deep Waters,1948,6.7,198.0
tt0040282,The Denver Kid,1948,6.5,63.0
tt0040283,Last Love,1949,5.2,22.0
tt0040284,Sins of Pompeii,1950,5.8,74.0
tt0040285,Design for Death,1947,6.4,25.0
tt0040286,Desperadoes of Dodge City,1948,7.1,26.0
tt0040287,Devil's Cargo,1948,6.0,137.0
tt0040288,The Lame Devil,1948,7.1,199.0
tt0040289,"Dick Barton, Detective",1948,4.2,93.0
tt0040294,Where the Wind Blows,1948,4.9,12.0
tt0040297,Don Juan de Serrallonga,1949,6.7,34.0
tt0040302,Dream Girl,1948,6.1,84.0
tt0040308,Easter Parade,1948,7.4,8024.0
tt0040315,Embraceable You,1948,6.9,131.0
tt0040316,Immigrants,1948,7.6,20.0
tt0040317,The Emperor Waltz,1948,6.1,1369.0
tt0040322,Der Engel mit der Posaune,1948,7.5,72.0
tt0040325,Escape,1948,6.6,264.0
tt0040330,Eva,1948,6.5,260.0
tt0040331,Every Girl Should Be Married,1948,6.4,1965.0
tt0040335,Quartet,1948,7.3,800.0
tt0040336,"Fado, História d'uma Cantadeira",1947,6.6,143.0
tt0040338,The Fallen Idol,1948,7.7,7269.0
tt0040339,False Paradise,1948,6.9,109.0
tt0040341,Una familia de tantas,1949,7.7,220.0
tt0040342,Family Honeymoon,1948,6.5,170.0
tt0040343,Fandango,1949,6.8,6.0
tt0040344,Fantasmi del mare,1948,7.6,11.0
tt0040345,The Fatal Night,1948,7.6,18.0
tt0040348,The Farm of Seven Sins,1949,6.8,52.0
tt0040355,Fighting Father Dunne,1948,6.7,191.0
tt0040356,Fighting Mustang,1948,7.7,54.0
tt0040358,Affairs of a Rogue,1948,6.8,16.0
tt0040362,Mad About Opera,1948,6.5,19.0
tt0040365,Forbidden,1949,6.7,141.0
tt0040366,Force of Evil,1948,7.3,5434.0
tt0040367,A Foreign Affair,1948,7.3,6350.0
tt0040368,Forró mezök,1949,7.2,10.0
tt0040369,Fort Apache,1948,7.5,15434.0
tt0040370,Four Faces West,1948,7.1,684.0
tt0040376,Främmande hamn,1948,5.6,30.0
tt0040379,The Fuller Brush Man,1948,6.9,491.0
tt0040380,Fury at Furnace Creek,1948,6.7,303.0
tt0040381,G-Men Never Forget,1948,6.6,78.0
tt0040382,The Gallant Blade,1948,5.7,33.0
tt0040383,The Gallant Legion,1948,6.8,83.0
tt0040387,The Honor of the House,1948,5.5,20.0
tt0040392,Glamour Girl,1948,7.1,8.0
tt0040396,Gopinath,1948,7.5,29.0
tt0040401,Horror Maniacs,1948,5.4,151.0
tt0040402,Green Grass of Wyoming,1948,6.2,307.0
tt0040407,The Outsider,1948,6.8,345.0
tt0040410,Gunning for Justice,1948,7.1,9.0
tt0040414,Half Past Midnight,1948,5.7,21.0
tt0040418,Port of Call,1948,6.6,1861.0
tt0040419,Han matado a Tongolele,1948,6.7,17.0
tt0040427,He Walked by Night,1948,7.2,4513.0
tt0040431,Here Come the Huggetts,1948,6.3,201.0
tt0040433,Der Herr Kanzleirat,1948,6.1,51.0
tt0040434,Der Herr vom andern Stern,1948,6.1,49.0
tt0040437,Highway 13,1948,6.4,73.0
tt0040443,Holiday Camp,1947,6.6,404.0
tt0040444,Hollow Triumph,1948,6.8,2127.0
tt0040447,Homicide for Three,1948,5.4,77.0
tt0040452,House of Darkness,1948,5.4,117.0
tt0040456,El huésped de las tinieblas,1948,8.6,7.0
tt0040457,I Love Trouble,1948,6.9,328.0
tt0040458,I Remember Mama,1948,7.9,4757.0
tt0040461,I de lyse nætter,1948,6.3,22.0
tt0040464,If You Knew Susie,1948,6.3,166.0
tt0040465,Ihmiset suviyössä,1948,6.8,152.0
tt0040469,Old Los Angeles,1948,7.3,68.0
tt0040470,Indian Agent,1948,6.7,54.0
tt0040477,Invisible Man Appears,1949,6.2,40.0
tt0040478,The Iron Curtain,1948,6.4,709.0
tt0040479,Isn't It Romantic,1948,4.9,49.0
tt0040482,It's Not Cricket,1949,6.3,127.0
tt0040483,I Am with You,1948,5.7,9.0
tt0040484,Jalisco canta en Sevilla,1949,6.8,29.0
tt0040485,Adventures of Janne Vangman,1948,3.7,7.0
tt0040488,Jiggs and Maggie in Court,1948,7.7,10.0
tt0040489,Jinx Money,1948,6.5,229.0
tt0040492,Joe Palooka in Fighting Mad,1948,6.8,12.0
tt0040493,Joe Palooka in Winner Take All,1948,6.8,18.0
tt0040497,Jour de Fête,1949,7.3,6998.0
tt0040498,Julia Misbehaves,1948,6.9,820.0
tt0040499,June Bride,1948,7.0,1491.0
tt0040500,Jungle Goddess,1948,2.0,597.0
tt0040502,Jungle Patrol,1948,6.1,30.0
tt0040503,Just William's Luck,1948,6.6,43.0
tt0040504,Kampen om tungtvannet,1948,6.9,524.0
tt0040505,Kaze no naka no mendori,1948,7.5,1174.0
tt0040506,Key Largo,1948,7.8,35097.0
tt0040507,Kidnapped,1948,6.2,174.0
tt0040508,Killer Diller,1948,5.7,108.0
tt0040509,Kilroy sen teki,1948,5.5,39.0
tt0040513,The Kissing Bandit,1948,5.2,458.0
tt0040518,Kvarterets olycksfågel,1947,5.2,29.0
tt0040521,Königin der Landstraße,1948,5.7,6.0
tt0040522,Bicycle Thieves,1948,8.3,134251.0
tt0040524,Lady at Midnight,1948,6.3,69.0
tt0040525,The Lady from Shanghai,1947,7.6,24393.0
tt0040526,Laitakaupungin laulu,1948,6.1,75.0
tt0040527,Lang ist der Weg,1949,7.5,32.0
tt0040528,Lappblod,1948,3.6,13.0
tt0040529,Lars Hård,1948,5.7,28.0
tt0040530,Last of the Wild Horses,1948,2.1,531.0
tt0040536,Letter from an Unknown Woman,1948,8.0,10321.0
tt0040537,Love' 47,1949,7.2,63.0
tt0040540,Little Martin Returns,1948,4.7,47.0
tt0040544,Locura de amor,1948,6.2,128.0
tt0040547,Lola Casanova,1949,7.1,14.0
tt0040548,Dulcimer Street,1948,7.0,317.0
tt0040549,Look Before You Love,1948,5.0,7.0
tt0040550,Louisiana Story,1948,6.7,1578.0
tt0040551,Love in Waiting,1948,6.2,36.0
tt0040552,The Loves of Carmen,1948,6.2,875.0
tt0040553,The Luck of the Irish,1948,6.8,774.0
tt0040556,Luxury Liner,1948,6.7,392.0
tt0040559,La macchina ammazzacattivi,1952,6.7,525.0
tt0040560,Maclovia,1948,6.4,119.0
tt0040562,The Golden Madonna,1949,6.8,16.0
tt0040563,The Main Street Kid,1948,4.9,7.0
tt0040566,Man on the Run,1949,6.9,97.0
tt0040567,Man-Eater of Kumaon,1948,6.4,78.0
tt0040568,Mare nostrum,1948,6.6,41.0
tt0040569,Maresi,1948,6.8,10.0
tt0040573,El marqués de Salamanca,1948,5.9,27.0
tt0040574,Marshal of Amarillo,1948,6.8,40.0
tt0040585,Life in Bloom,1949,6.4,96.0
tt0040586,Mickey,1948,7.1,75.0
tt0040590,Million Dollar Weekend,1948,6.2,207.0
tt0040594,The Miracle of the Bells,1948,6.6,758.0
tt0040596,Miraculous Journey,1948,6.7,58.0
tt0040597,Miranda,1948,6.9,793.0
tt0040601,The Young Guard,1948,7.1,240.0
tt0040603,Mom and Dad,1945,5.2,126.0
tt0040604,Money Madness,1948,6.2,149.0
tt0040605,The Glass Mountain,1949,6.5,190.0
tt0040609,Morituri,1948,6.9,56.0
tt0040613,Mr. Blandings Builds His Dream House,1948,7.3,9674.0
tt0040614,Mr. Peabody and the Mermaid,1948,6.4,1014.0
tt0040615,Mr. Perrin and Mr. Traill,1948,6.8,155.0
tt0040616,Mr. Reckless,1948,5.4,66.0
tt0040621,Music Man,1948,7.2,54.0
tt0040623,My Brother Jonathan,1948,7.1,110.0
tt0040624,My Brother's Keeper,1948,6.3,213.0
tt0040628,My Girl Tisa,1948,7.0,63.0
tt0040629,My Own True Love,1948,5.6,35.0
tt0040630,My Sister and I,1948,7.3,6.0
tt0040631,Mystery in Mexico,1948,6.0,248.0
tt0040636,The Naked City,1948,7.6,11170.0
tt0040643,Night Has a Thousand Eyes,1948,7.0,990.0
tt0040644,Nighttime in Nevada,1948,6.9,100.0
tt0040647,No Orchids for Miss Blandish,1948,6.1,482.0
tt0040652,The Noose Hangs High,1948,6.8,951.0
tt0040664,On Our Merry Way,1948,5.9,550.0
tt0040665,On an Island with You,1948,6.0,723.0
tt0040666,Maniacs on Wheels,1949,6.5,194.0
tt0040667,One Night with You,1948,7.2,64.0
tt0040668,One Sunday Afternoon,1948,5.7,165.0
tt0040669,One Touch of Venus,1948,6.7,1094.0
tt0040671,Open Secret,1948,6.8,164.0
tt0040674,The Last Stage,1948,7.1,228.0
tt0040679,The Paleface,1948,6.8,3415.0
tt0040683,Paris mil neuf cent,1947,7.2,110.0
tt0040684,Partners of the Sunset,1948,5.6,16.0
tt0040689,Pervoklassnitsa,1948,7.6,74.0
tt0040694,The Pirate,1948,7.0,4137.0
tt0040695,Pitfall,1948,7.2,2692.0
tt0040703,Lost Daughter,1949,6.7,74.0
tt0040704,Portrait of Innocence,1941,6.5,55.0
tt0040705,Portrait of Jennie,1948,7.7,5844.0
tt0040709,Heart of Virginia,1948,6.0,5.0
tt0040711,Prince of the Plains,1949,6.8,6.0
tt0040714,Der Prozeß,1948,7.1,67.0
tt0040715,Pueblerina,1949,7.1,172.0
tt0040716,On These Shoulders,1948,5.5,21.0
tt0040717,The Quiet One,1948,6.6,180.0
tt0040720,Rachel and the Stranger,1948,7.0,1767.0
tt0040724,Red River,1948,7.8,26355.0
tt0040725,The Red Shoes,1948,8.2,27281.0
tt0040726,Relentless,1948,6.4,267.0
tt0040730,The Return of October,1948,6.2,138.0
tt0040733,The Return of the Whistler,1948,6.4,319.0
tt0040738,River Lady,1948,6.1,148.0
tt0040739,River Patrol,1948,4.3,46.0
tt0040740,Road House,1948,7.3,2191.0
tt0040744,Rogues' Regiment,1948,6.6,109.0
tt0040745,Romance on the High Seas,1948,7.0,1707.0
tt0040746,Rope,1948,8.0,119805.0
tt0040748,Rosenda,1948,7.4,33.0
tt0040749,La rubia Mireya,1948,9.1,11.0
tt0040751,Ruthless,1948,6.9,964.0
tt0040754,The Sainted Sisters,1948,6.9,80.0
tt0040755,Salón México,1949,7.3,394.0
tt0040762,Scudda Hoo! Scudda Hay!,1948,6.1,240.0
tt0040765,The Search,1948,7.8,3588.0
tt0040766,Secret Beyond the Door...,1947,6.8,4092.0
tt0040767,The Secret Land,1948,6.9,257.0
tt0040769,The Secret of Mayerling,1949,6.5,46.0
tt0040773,Without Pity,1948,6.7,267.0
tt0040779,Shed No Tears,1948,6.4,250.0
tt0040783,Si te hubieses casado conmigo,1950,6.6,21.0
tt0040785,The Sign of the Ram,1948,6.3,265.0
tt0040786,Le signal rouge,1949,6.2,17.0
tt0040787,Silent Conflict,1948,6.8,103.0
tt0040788,Silent Dust,1949,6.8,173.0
tt0040789,Silver River,1948,6.6,949.0
tt0040794,Siren of Atlantis,1949,5.8,185.0
tt0040795,Sitting Pretty,1948,7.5,1862.0
tt0040796,Six-Gun Law,1948,6.8,18.0
tt0040797,16 Fathoms Deep,1948,6.0,67.0
tt0040798,"Sleep, My Love",1948,6.8,1377.0
tt0040799,Sleeping Car to Trieste,1948,6.7,335.0
tt0040800,Slippy McGee,1948,6.3,6.0
tt0040801,The Hideout,1948,6.5,84.0
tt0040803,Smart Politics,1948,7.8,12.0
tt0040804,Smart Woman,1948,6.2,149.0
tt0040805,Smugglers' Cove,1948,6.6,241.0
tt0040806,The Snake Pit,1948,7.6,6242.0
tt0040809,So Evil My Love,1948,6.9,516.0
tt0040810,So This Is New York,1948,6.5,212.0
tt0040816,Private Bom,1948,6.1,166.0
tt0040820,A Song Is Born,1948,6.9,1952.0
tt0040821,A Song for Tomorrow,1948,5.9,53.0
tt0040827,Speed to Spare,1948,5.7,36.0
tt0040829,The Amazing Mr. X,1948,6.4,1329.0
tt0040830,Spring in Park Lane,1948,7.0,199.0
tt0040834,State of the Union,1948,7.2,3285.0
tt0040835,Station West,1948,6.6,858.0
tt0040838,The Strange Mrs. Crane,1948,6.7,62.0
tt0040839,Stranitsy zhizni,1948,6.4,16.0
tt0040841,Street Acquaintances,1948,7.3,24.0
tt0040842,Street Corner,1948,5.7,80.0
tt0040843,The Street with No Name,1948,7.1,2546.0
tt0040846,The Art of Burlesque,1950,6.5,13.0
tt0040849,The Sun Comes Up,1949,6.5,308.0
tt0040850,Sundown in Santa Fe,1948,6.8,35.0
tt0040851,Sunset Carson Rides Again,1948,6.9,81.0
tt0040852,Superman,1948,7.0,885.0
tt0040857,Sin,1948,4.5,11.0
tt0040858,Taifuken no onna,1948,6.8,20.0
tt0040859,Treasured Earth,1948,7.0,117.0
tt0040862,Tarzan and the Mermaids,1948,5.9,1851.0
tt0040866,La Terra Trema,1948,7.8,3999.0
tt0040868,"Texas, Brooklyn & Heaven",1948,6.2,261.0
tt0040869,That Lady in Ermine,1948,5.9,607.0
tt0040870,That Wonderful Urge,1948,6.6,707.0
tt0040874,Third Time Lucky,1949,5.6,51.0
tt0040875,Three Daring Daughters,1948,6.2,438.0
tt0040876,The Three Musketeers,1948,7.2,5463.0
tt0040877,The Three Weird Sisters,1948,6.6,120.0
tt0040880,Thunderhoof,1948,6.9,71.0
tt0040884,The Time of Your Life,1948,6.3,1055.0
tt0040889,Tornado Range,1948,6.1,60.0
tt0040892,Toukokuun taika,1948,4.8,24.0
tt0040895,Train to Alcatraz,1948,6.5,37.0
tt0040896,Trapped by Boston Blackie,1948,6.5,255.0
tt0040897,The Treasure of the Sierra Madre,1948,8.2,107352.0
tt0040898,Los tres huastecos,1948,8.0,581.0
tt0040904,Triple Threat,1948,6.0,8.0
tt0040906,Trouble in the Air,1948,6.1,42.0
tt0040918,Uneasy Terms,1948,6.7,58.0
tt0040919,Unfaithfully Yours,1948,7.6,4361.0
tt0040920,Unknown Island,1948,5.2,493.0
tt0040921,The Untamed Breed,1948,5.6,54.0
tt0040927,Urubu,1948,4.3,7.0
tt0040928,"Ustedes, los ricos",1948,7.6,469.0
tt0040929,The Valiant Hombre,1948,6.4,8.0
tt0040932,Variety Time,1948,5.6,50.0
tt0040936,Vengeance Is Mine,1949,5.8,73.0
tt0040937,Il vento m'ha cantato una canzone,1947,6.0,13.0
tt0040938,Secrets of a Soul,1948,5.5,15.0
tt0040941,The Vicious Circle,1948,5.9,50.0
tt0040942,Vida en sombras,1949,7.3,222.0
tt0040949,The Walls of Jericho,1948,7.0,236.0
tt0040950,Warning to Wantons,1949,6.0,23.0
tt0040952,The Weaker Sex,1948,6.4,88.0
tt0040953,Wege im Zwielicht,1948,8.2,25.0
tt0040955,West of Sonora,1948,6.4,18.0
tt0040956,Western Heritage,1948,6.4,72.0
tt0040957,The Westward Trail,1948,6.1,53.0
tt0040963,Whiplash,1948,6.6,324.0
tt0040964,Whirlwind Raiders,1948,6.8,40.0
tt0040965,Whispering Smith,1948,6.7,984.0
tt0040966,Who Killed Doc Robbin?,1948,4.8,222.0
tt0040971,Winter Meeting,1948,6.6,974.0
tt0040972,Without Prejudice,1947,7.0,27.0
tt0040973,Woman in White,1949,5.6,16.0
tt0040974,The Woman in White,1948,6.6,1240.0
tt0040977,The Wreck of the Hesperus,1948,7.2,16.0
tt0040978,Yellow Sky,1948,7.5,4049.0
tt0040979,Drunken Angel,1948,7.7,9168.0
tt0040980,Women of the Night,1948,7.2,999.0
tt0040983,You Were Meant for Me,1948,6.0,211.0
tt0040989,L'école buissonnière,1949,6.9,163.0
tt0041084,Abandoned,1949,6.6,204.0
tt0041085,"Abbott and Costello Meet the Killer, Boris Karloff",1949,6.9,3433.0
tt0041089,Adam and Evalyn,1949,6.3,427.0
tt0041090,Adam's Rib,1949,7.5,18405.0
tt0041091,Adam and Eve,1949,5.8,11.0
tt0041092,Adémaï at the border post,1950,6.8,8.0
tt0041093,Adventure in Baltimore,1949,6.1,346.0
tt0041094,The Adventures of Ichabod and Mr. Toad,1949,7.0,11518.0
tt0041095,The Adventures of P.C. 49: Investigating the Case of the Guardian Angel,1949,6.2,56.0
tt0041096,The Adventures of Sir Galahad,1949,6.8,64.0
tt0041100,Air Hostess,1949,5.4,26.0
tt0041101,Ivan Pavlov,1949,6.3,23.0
tt0041102,Fame and the Devil,1949,6.2,36.0
tt0041105,Aleksandr Popov,1949,7.4,33.0
tt0041108,Alias the Champ,1949,6.2,33.0
tt0041109,Alimony,1949,5.5,103.0
tt0041110,Alitet ukhodit v gory,1950,6.1,27.0
tt0041111,All Over the Town,1949,6.6,154.0
tt0041115,Always Leave Them Laughing,1949,5.9,322.0
tt0041116,Amazon Quest,1949,6.0,32.0
tt0041123,Andaz,1949,7.4,423.0
tt0041124,Angels in Disguise,1949,6.8,219.0
tt0041125,Anna Lucasta,1949,6.6,94.0
tt0041128,Apache Chief,1949,6.3,19.0
tt0041133,"Arson, Inc.",1949,5.3,156.0
tt0041134,The Astonished Heart,1950,6.1,296.0
tt0041137,The Sinners,1949,7.2,44.0
tt0041140,Aventuras de Juan Lucas,1949,4.6,19.0
tt0041141,Aventurera,1950,7.6,492.0
tt0041145,The Bad Lord Byron,1949,5.6,86.0
tt0041149,Bagdad,1949,5.4,313.0
tt0041150,Der Bagnosträfling,1949,5.4,5.0
tt0041153,Bandits of El Dorado,1949,6.3,47.0
tt0041154,Late Spring,1949,8.3,12852.0
