tConst,title,year,rating,votes
tt0007183,The Queen of Spades,1916,7.0,585.0
tt0007202,Poor Little Peppina,1916,6.3,52.0
tt0007257,Reggie Mixes In,1916,4.8,558.0
tt0007263,The Right to Be Happy,1916,6.3,17.0
tt0007272,Romeo and Juliet,1916,6.6,11.0
tt0007338,Sherlock Holmes,1916,6.4,295.0
tt0007353,A Sister of Six,1916,5.8,12.0
tt0007367,The Social Secretary,1916,5.3,502.0
tt0007368,Sold for Marriage,1916,6.6,73.0
tt0007410,Sunshine Dad,1916,5.0,8.0
tt0007454,The Three Musketeers,1916,5.8,25.0
tt0007462,To Have and to Hold,1916,6.7,13.0
tt0007498,Under Two Flags,1916,6.4,10.0
tt0007516,The Victoria Cross,1916,4.7,6.0
tt0007539,War Brides,1916,6.7,9.0
tt0007590,The World and the Woman,1916,6.2,38.0
tt0007614,The Adventurer,1917,6.6,10.0
tt0007646,El apóstol,1917,6.8,39.0
tt0007698,Betsy Ross,1917,5.1,45.0
tt0007699,Betsy's Burglar,1917,5.4,14.0
tt0007801,Cleopatra,1917,6.5,295.0
tt0007834,The Dancer's Peril,1917,7.1,7.0
tt0007927,The Fall of the Romanoffs,1917,6.6,14.0
tt0007992,Het geheim van Delft,1917,6.7,41.0
tt0008011,A Girl's Folly,1917,6.1,128.0
tt0008029,Great Expectations,1917,5.8,16.0
tt0008041,The Hand That Rocks the Cradle,1917,6.6,15.0
tt0008100,A Trip to Mars,1918,6.5,566.0
tt0008134,"In Again, Out Again",1917,6.7,9.0
tt0008150,Joan the Woman,1916,6.5,480.0
tt0008151,John Ermine of Yellowstone,1917,4.2,6.0
tt0008259,The Man Without a Country,1917,6.5,40.0
tt0008271,A Marked Man,1917,4.3,27.0
tt0008305,Les Misérables,1917,5.7,18.0
tt0008353,The Mystery Ship,1917,6.0,9.0
tt0008361,Nan of Music Mountain,1917,4.8,10.0
tt0008362,The Narrow Trail,1917,7.0,58.0
tt0008374,Az obsitos,1917,6.5,27.0
tt0008389,One Touch of Nature,1917,5.6,25.0
tt0008411,Patria,1917,5.9,21.0
tt0008443,The Poor Little Rich Girl,1917,6.7,1231.0
tt0008489,"Raffles, the Amateur Cracksman",1917,6.4,121.0
tt0008498,Reaching for the Moon,1917,6.4,73.0
tt0008499,Rebecca of Sunnybrook Farm,1917,6.2,753.0
tt0008535,Sapho,1917,6.3,6.0
tt0008536,Satan Triumphant,1917,6.9,141.0
tt0008551,The Secret Man,1917,5.0,32.0
tt0008561,Seven Keys to Baldpate,1917,6.4,79.0
tt0008579,Sirens of the Sea,1917,6.0,8.0
tt0008623,The Square Deal Man,1917,7.2,13.0
tt0008652,A Tale of Two Cities,1917,6.0,106.0
tt0008663,A Man There Was,1917,7.4,1424.0
tt0008679,Tillie Wakes Up,1917,4.8,480.0
tt0008696,A Trip Through China,1917,6.8,15.0
tt0008710,Girl from Stormy Croft,1917,6.6,145.0
tt0008735,The Vicar of Wakefield,1917,6.0,24.0
tt0008775,Wild and Woolly,1917,6.5,542.0
tt0008787,"Womanhood, the Glory of the Nation",1917,6.2,8.0
tt0008807,The Last Indian Attack,1917,6.7,78.0
tt0008808,"$5,000 Reward",1918,5.3,6.0
tt0008822,All Night,1918,6.1,66.0
tt0008826,Alraune,1919,5.6,32.0
tt0008827,Amarilly of Clothes-Line Alley,1918,5.8,732.0
tt0008836,Anna Karenina,1918,5.3,18.0
tt0008854,The Eyes of the Mummy,1918,5.5,540.0
tt0008879,The Outlaw and His Wife,1918,7.3,1457.0
tt0008923,Bread,1918,6.4,7.0
tt0008951,Carmen of the Klondike,1918,5.3,9.0
tt0009014,The Tenth Symphony,1918,5.9,120.0
tt0009020,A Doll's House,1918,6.7,10.0
tt0009046,Eye for Eye,1918,5.6,9.0
tt0009047,The Eyes of Julia Deep,1918,6.6,32.0
tt0009079,The Floor Below,1918,6.7,22.0
tt0009096,The Lighthouse Keeper's Daughter,1918,6.0,25.0
